"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"IDM00097530","RENDANI, ID","2022-07",,,,,"0","29","12",,"91",,,,,"88.4",
"IDM00097530","RENDANI, ID","2022-08",,,,,"0","28","14",,"92",,,,,"89.3",
"IDM00097530","RENDANI, ID","2022-09",,,,,"0","27","18",,"93",,,,,"90.3",
"IDM00097530","RENDANI, ID","2022-10",,,,,"0","27","23",,"94",,,,,"91.2",
"ID000096073","SIBOLGA PINANGSORI, ID","2022-01","464","464","0","0","0","31","23","68","94",,"0",,"80.9","90.8","70.9"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-02","852","388","0","0","0","26","20","67","94",,"0",,"80.5","90.8","70.2"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-03",,,"0","0","0","28","17","65","94",,,,"80.5","90.6","70.5"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-04",,"477","0","0","0","29","22","69","94",,"0",,"81.4","91.1","71.8"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-05",,,,,"0","30","18",,"94",,,,,"89.9",
"ID000096073","SIBOLGA PINANGSORI, ID","2022-06",,"396","0","0","0","29","10","68","92",,"0",,"80.1","88.8","71.5"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-07",,"443","0","0","0","29","20","69","93","0","0",,"81.1","89.7","72.4"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-08",,"424","0","0","0","30","20","68","92","0","0",,"80.6","89.8","71.3"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-09",,,"0","0","0","26","13","68","92",,,,"80.4","89.3","71.5"
"ID000096073","SIBOLGA PINANGSORI, ID","2022-10",,,,,"0","29","7",,"92",,,,,"88.0",
"IDM00096087","BATAM HANG NADIM, ID","2022-01","484","484","0","0","0","31","1","72","90",,"0",,"82.3","88.0","76.6"
"IDM00096087","BATAM HANG NADIM, ID","2022-02","862","378","0","0","0","28","0","72","90",,"0",,"81.4","86.9","75.9"
"IDM00096087","BATAM HANG NADIM, ID","2022-03",,,,,"0","31","13",,"93",,,,,"89.3",
"IDM00096087","BATAM HANG NADIM, ID","2022-04",,"457","0","0","0","29","14","73","93",,"0",,"82.7","89.3","76.1"
"IDM00096087","BATAM HANG NADIM, ID","2022-06",,,,,"0","30","4",,"92",,,,,"87.2",
"IDM00096087","BATAM HANG NADIM, ID","2022-07",,,,,"0","31","12",,"91",,,,,"89.0",
"IDM00096087","BATAM HANG NADIM, ID","2022-08",,,,,"0","30","7",,"92",,,,,"88.4",
"IDM00096087","BATAM HANG NADIM, ID","2022-09",,,,,"0","30","3",,"90",,,,,"87.6",
"IDM00096087","BATAM HANG NADIM, ID","2022-10",,,,,"0","30","5",,"91",,,,,"87.4",
"IDM00097570","SERUI YENDOSA, ID","2022-04",,,,,"0","25","15",,"93",,,,,"89.5",
"IDM00096529","KALIMARU, ID","2022-01",,,,,"0","31","13",,"94",,,,,"88.3",
"IDM00096529","KALIMARU, ID","2022-02",,,,,"0","24","10",,"94",,,,,"88.6",
"IDM00096529","KALIMARU, ID","2022-03",,,,,"0","31","20",,"96",,,,,"91.5",
"IDM00096529","KALIMARU, ID","2022-04",,,,,"0","29","20",,"96",,,,,"91.6",
"IDM00096529","KALIMARU, ID","2022-05",,,,,"0","30","26",,"97",,,,,"92.6",
"IDM00096529","KALIMARU, ID","2022-06",,,,,"0","30","28",,"95",,,,,"92.4",
"IDM00096529","KALIMARU, ID","2022-07",,,,,"0","30","23",,"95",,,,,"91.2",
"IDM00096529","KALIMARU, ID","2022-08",,,,,"0","31","21",,"98",,,,,"90.9",
"IDM00096529","KALIMARU, ID","2022-09",,,,,"0","28","22",,"96",,,,,"91.4",
"IDM00096529","KALIMARU, ID","2022-10",,,,,"0","29","21",,"96",,,,,"91.1",
"ID000097724","AMBON PATTIMURA, ID","2022-01",,,,,"0","26","17",,"94",,,,,"90.5",
"IDM00096009","MALIKUS SALEH, ID","2022-01",,,,,"0","29","1",,"94",,,,,"87.3",
"IDM00096009","MALIKUS SALEH, ID","2022-02",,,"0","0","0","25","0","70","90",,,,"80.0","87.0","72.9"
"IDM00096009","MALIKUS SALEH, ID","2022-03",,,"0","0","0","28","4","72","91",,,,"80.5","87.6","73.4"
"IDM00096009","MALIKUS SALEH, ID","2022-04",,,"0","0","0","27","4","72","90",,,,"81.1","88.4","73.8"
"IDM00096009","MALIKUS SALEH, ID","2022-05",,,,,"0","30","17",,"93",,,,,"89.9",
"IDM00096009","MALIKUS SALEH, ID","2022-06",,,,,"0","30","5",,"92",,,,,"88.5",
"IDM00096009","MALIKUS SALEH, ID","2022-07",,,,,"0","31","16",,"92",,,,,"89.6",
"IDM00096009","MALIKUS SALEH, ID","2022-08",,"427","0","0","0","31","12","70","93",,"0",,"81.5","89.3","73.6"
"IDM00096009","MALIKUS SALEH, ID","2022-09",,"415","0","0","0","28","4","70","91",,"0",,"80.9","88.4","73.5"
"IDM00096009","MALIKUS SALEH, ID","2022-10",,,,,"0","30","1",,"90",,,,,"86.7",
"IDM00096207","KERINCI DEPATI PARB, ID","2022-01",,,,,"0","30","0",,"88",,,,,"83.9",
"IDM00096207","KERINCI DEPATI PARB, ID","2022-02",,,,,"0","25","0",,"89",,,,,"84.8",
"IDM00096207","KERINCI DEPATI PARB, ID","2022-03",,,"0","0","0","26","0","56","89",,,,"74.8","85.4","64.2"
"IDM00096207","KERINCI DEPATI PARB, ID","2022-04",,"275","0","0","0","28","0","58","89",,"0",,"74.9","85.5","64.4"
"IDM00096207","KERINCI DEPATI PARB, ID","2022-05",,,,,"0","30","1",,"94",,,,,"86.0",
"IDM00096207","KERINCI DEPATI PARB, ID","2022-06",,"242","0","0","0","30","0","63","87",,"0",,"74.5","83.8","65.2"
"IDM00096207","KERINCI DEPATI PARB, ID","2022-07",,,,,"0","31","0",,"88",,,,,"83.7",
"IDM00096207","KERINCI DEPATI PARB, ID","2022-08",,"266","0","0","0","30","0","63","87",,"0",,"74.8","83.5","66.2"
"IDM00096207","KERINCI DEPATI PARB, ID","2022-09",,"238","0","0","0","30","0","63","87",,"0",,"74.0","83.0","65.0"
"IDM00096207","KERINCI DEPATI PARB, ID","2022-10",,,,,"0","30","0",,"86",,,,,"82.5",
